created_at,favorite_count,hashtags,id,in_reply_to_status_id,in_reply_to_user_id_str,reply_count,retweet_count,source,user_id_str,user_followers_count,user_friends_count,user_created_at,extracted_source
Mon Apr 20 15:01:59 +0000 2020,1946,[],1252251171252772867,,,3830,5341,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",2258446142,252,144,Mon Dec 23 04:17:47 +0000 2013,Twitter for Android
Mon Apr 20 15:02:02 +0000 2020,603,"[Corona, haircut]",1252251184922009604,,,281,2198,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",123491472,227,42,Tue Mar 16 07:39:21 +0000 2010,Twitter for Android
Mon Apr 20 15:02:04 +0000 2020,5359,[],1252251189971841025,1252237237661528065,521430364,8967,6159,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",235647689,633,267,Sat Jan 08 18:58:59 +0000 2011,Twitter for Android
Mon Apr 20 15:02:05 +0000 2020,8923,[],1252251197743919105,,,3626,6697,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",1137387920015282176,13,240,Sat Jun 08 15:56:26 +0000 2019,Twitter Web App
Mon Apr 20 15:02:07 +0000 2020,401,[NitishHelpKota],1252251204744339457,,,7858,7909,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1093992859093544960,12,16,Fri Feb 08 21:59:57 +0000 2019,Twitter for Android
Mon Apr 20 15:02:08 +0000 2020,2663,[],1252251207797784576,,,9788,9768,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",143231923,841,1134,Wed May 12 23:26:04 +0000 2010,Twitter for Android
Mon Apr 20 15:02:12 +0000 2020,5403,[],1252251225405509633,,,3650,5490,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",88815688,1047,952,Tue Nov 10 01:14:50 +0000 2009,Twitter for iPhone
Mon Apr 20 15:02:14 +0000 2020,8220,[],1252251233542430722,,,1159,5637,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1185852303854592001,2107,2283,Sun Oct 20 09:36:49 +0000 2019,Twitter for Android
Mon Apr 20 15:02:16 +0000 2020,5247,[],1252251241075351553,,,1841,1442,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",1245506493937373185,141,354,Thu Apr 02 00:21:22 +0000 2020,Twitter for iPhone
Mon Apr 20 15:02:20 +0000 2020,5991,[],1252251259060449280,,,5358,3583,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",272794406,142,1637,Sun Mar 27 05:54:08 +0000 2011,Twitter for iPhone
Mon Apr 20 15:02:21 +0000 2020,8537,[],1252251262063718408,,,9708,3005,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",33905880,23139,25325,Tue Apr 21 13:41:22 +0000 2009,Twitter for iPhone
Mon Apr 20 15:02:22 +0000 2020,7951,[],1252251266287169541,,,7465,3718,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1713519530,19,32,Fri Aug 30 19:13:54 +0000 2013,Twitter for Android
Mon Apr 20 15:02:25 +0000 2020,3644,[],1252251281437016064,,,6152,4926,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1176723504558772225,8,33,Wed Sep 25 05:02:10 +0000 2019,Twitter for Android
Mon Apr 20 15:02:26 +0000 2020,3456,[],1252251282246492160,,,2544,7338,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1130325675187957760,54,185,Mon May 20 04:13:36 +0000 2019,Twitter for Android
Mon Apr 20 15:02:30 +0000 2020,3470,[],1252251299699027970,,,5445,8204,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",254896079,228,640,Sun Feb 20 06:48:42 +0000 2011,Twitter for iPhone
Mon Apr 20 15:02:31 +0000 2020,1415,[],1252251304342310913,,,8720,6430,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",352808310,9,84,Thu Aug 11 03:19:37 +0000 2011,Twitter for iPhone
Mon Apr 20 15:02:32 +0000 2020,5235,[],1252251309983494144,,,6066,2737,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",34528114,38,29,Thu Apr 23 04:13:23 +0000 2009,Twitter for Android
Mon Apr 20 15:02:32 +0000 2020,4520,[],1252251310579122179,1252243975295115264,47475039,6255,4623,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",768740904,266,414,Mon Aug 20 03:27:27 +0000 2012,Twitter for Android
Mon Apr 20 15:02:34 +0000 2020,3307,[],1252251318598721536,,,9828,9765,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",3188865038,1425,4986,Fri May 08 14:59:38 +0000 2015,Twitter for Android
Mon Apr 20 15:02:34 +0000 2020,6019,[],1252251319789854720,,,9478,5374,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",837766451767410688,429,2944,Fri Mar 03 20:47:41 +0000 2017,Twitter for Android
Mon Apr 20 15:02:42 +0000 2020,7361,[],1252251351255601155,1251964556160761858,933357278035677184,7934,9096,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",2597363642,102,173,Tue Jul 01 04:08:24 +0000 2014,Twitter for Android
Mon Apr 20 15:02:43 +0000 2020,4678,[],1252251353872609280,,,1532,4753,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1151733154182381568,159,136,Thu Jul 18 05:59:16 +0000 2019,Twitter for Android
Mon Apr 20 15:02:44 +0000 2020,6968,[],1252251358901620736,,,624,3827,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",807231758450196482,890,2633,Fri Dec 09 14:33:43 +0000 2016,Twitter for Android
Mon Apr 20 15:02:44 +0000 2020,1836,[],1252251361338707968,,,529,7837,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",388479078,501,1622,Mon Oct 10 20:20:50 +0000 2011,Twitter for Android
Mon Apr 20 15:02:48 +0000 2020,4209,[],1252251375217643521,,,2855,2570,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",77605869,3210,984,Sat Sep 26 23:46:16 +0000 2009,Twitter for iPhone
Mon Apr 20 15:02:48 +0000 2020,3353,[],1252251376220016641,,,4292,3019,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",871065092049207296,234,668,Sat Jun 03 18:04:36 +0000 2017,Twitter for Android
