created_at,favorite_count,hashtags,id,in_reply_to_status_id,in_reply_to_user_id_str,reply_count,retweet_count,source,user_id_str,user_followers_count,user_friends_count,user_created_at,extracted_source
Mon Apr 20 20:36:44 +0000 2020,4822,[],1252335413332606976,,,3834,8146,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",829016050767327233,58,70,Tue Feb 07 17:16:43 +0000 2017,Twitter for iPhone
Mon Apr 20 20:36:45 +0000 2020,583,[],1252335417241726976,,,8162,8488,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",979011034554941444,632,156,Wed Mar 28 15:03:14 +0000 2018,Twitter for Android
Mon Apr 20 20:36:49 +0000 2020,2612,[OilPrice],1252335433758969859,,,1752,4423,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",2232065417,335,797,Wed Dec 18 19:04:21 +0000 2013,Twitter for Android
Mon Apr 20 20:36:49 +0000 2020,5274,[طبق_القدرات_للثانويه_ياريس],1252335433855275009,,,9446,3401,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",1244447386627461121,1,3,Mon Mar 30 02:12:41 +0000 2020,Twitter Web App
Mon Apr 20 20:36:50 +0000 2020,2231,[],1252335439358255105,,,2013,1804,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",953642161966206976,195,216,Wed Jan 17 14:56:24 +0000 2018,Twitter for iPhone
Mon Apr 20 20:36:51 +0000 2020,1334,[],1252335440780132353,,,6963,1458,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",1019143513613664256,64,81,Tue Jul 17 08:55:23 +0000 2018,Twitter for iPhone
Mon Apr 20 20:36:54 +0000 2020,8923,[],1252335453899874304,,,6073,3456,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",3273840006,460,2958,Fri Jul 10 06:11:55 +0000 2015,Twitter for Android
Mon Apr 20 20:36:54 +0000 2020,2456,[],1252335454692806657,,,9986,6939,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",186457713,2037,1697,Fri Sep 03 14:28:54 +0000 2010,Twitter for iPhone
Mon Apr 20 20:36:54 +0000 2020,5844,[],1252335455229665282,,,9856,7273,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",3699675388,386,508,Fri Sep 18 19:41:11 +0000 2015,Twitter for Android
Mon Apr 20 20:36:55 +0000 2020,9862,[],1252335457871880192,,,7824,3504,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>",1334831228,2811,2800,Sun Apr 07 18:44:58 +0000 2013,Twitter for iPad
Mon Apr 20 20:36:57 +0000 2020,4901,"[BREAKING, US, OilPrice]",1252335468852793344,,,9095,3416,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",3342518019,1719,1691,Tue Jun 23 11:09:10 +0000 2015,Twitter for Android
Mon Apr 20 20:36:58 +0000 2020,6241,[],1252335472904413185,,,7319,2650,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",416047186,441,779,Sat Nov 19 05:00:10 +0000 2011,Twitter for iPhone
Mon Apr 20 20:37:02 +0000 2020,1616,[],1252335490520412161,1252085893546086400,834113834,1830,2112,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",3374298340,28,164,Mon Jul 13 16:43:29 +0000 2015,Twitter for Android
Mon Apr 20 20:37:03 +0000 2020,5972,[],1252335494119243776,,,9988,8085,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",764870545,240,222,Sat Aug 18 02:11:28 +0000 2012,Twitter for iPhone
Mon Apr 20 20:37:08 +0000 2020,7049,[],1252335513157210112,,,6813,6600,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",1123959134,1618,30,Sun Jan 27 04:25:24 +0000 2013,Twitter Web App
Mon Apr 20 20:37:08 +0000 2020,9487,[],1252335514017050627,,,4702,3547,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1011587850,2075,2480,Fri Dec 14 17:33:12 +0000 2012,Twitter for Android
Mon Apr 20 20:37:11 +0000 2020,7186,[],1252335527027671046,,,8962,8636,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",1167441511220465665,399,208,Fri Aug 30 14:18:53 +0000 2019,Twitter for iPhone
Mon Apr 20 20:37:12 +0000 2020,2467,[],1252335531897131008,1252266982017126400,2265885618,1559,1902,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",2265885618,821,193,Sat Dec 28 13:09:55 +0000 2013,Twitter Web App
Mon Apr 20 20:37:17 +0000 2020,5135,[],1252335553040781315,1252331123276996608,2324408143,2471,986,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",9944552,4131,993,Sun Nov 04 18:31:41 +0000 2007,Twitter for Android
Mon Apr 20 20:37:21 +0000 2020,5641,[],1252335569629306880,,,1358,6804,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",942947633231945729,1473,2050,Tue Dec 19 02:40:09 +0000 2017,Twitter for Android
Mon Apr 20 20:37:31 +0000 2020,4013,[],1252335612360876034,,,2672,8802,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1073093766062505985,10681,10465,Thu Dec 13 05:54:25 +0000 2018,Twitter for Android
Mon Apr 20 20:37:34 +0000 2020,9935,[],1252335622032777217,,,8318,4053,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",1084516888871297024,126,80,Sun Jan 13 18:25:50 +0000 2019,Twitter for iPhone
Mon Apr 20 20:37:47 +0000 2020,9580,[],1252335677846556672,,,522,8302,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",143694125,66,72,Fri May 14 04:37:14 +0000 2010,Twitter for iPhone
Mon Apr 20 20:37:48 +0000 2020,8799,[],1252335680388083712,,,7778,2848,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",957239257,37,124,Mon Nov 19 11:18:52 +0000 2012,Twitter for Android
Mon Apr 20 20:37:54 +0000 2020,6260,[OilPrice],1252335706736713728,,,7973,5562,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",881238679469137921,1014,850,Sat Jul 01 19:50:48 +0000 2017,Twitter for iPhone
Mon Apr 20 20:37:55 +0000 2020,2917,[],1252335709266022401,,,7565,7963,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",735103080,16430,16121,Fri Aug 03 15:55:30 +0000 2012,Twitter Web App
Mon Apr 20 20:37:55 +0000 2020,9551,[],1252335711031824388,,,7572,6886,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",996835219557748737,99,201,Wed May 16 19:30:11 +0000 2018,Twitter for iPhone
