created_at,favorite_count,hashtags,id,in_reply_to_status_id,in_reply_to_user_id_str,reply_count,retweet_count,source,user_id_str,user_followers_count,user_friends_count,user_created_at,extracted_source
Mon Apr 20 20:36:45 +0000 2020,2735,[],1252335416574959616,,,8161,5495,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",2730087682,6695,6733,Thu Jul 31 18:02:10 +0000 2014,Twitter for Android
Mon Apr 20 20:36:45 +0000 2020,3616,[CoronavirusPandemic],1252335418630197248,,,2318,7223,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",1250296889846554624,18,460,Wed Apr 15 05:36:35 +0000 2020,Twitter Web App
Mon Apr 20 20:36:47 +0000 2020,6941,[],1252335425903112192,,,4330,3991,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",982386753645379585,509,943,Fri Apr 06 22:37:08 +0000 2018,Twitter for iPhone
Mon Apr 20 20:36:48 +0000 2020,6251,[],1252335430588137472,,,8407,3387,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",1015178256377696256,104,261,Fri Jul 06 10:18:52 +0000 2018,Twitter Web App
Mon Apr 20 20:36:48 +0000 2020,206,[],1252335431519105029,,,2004,1211,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",516838976,245,756,Tue Mar 06 20:02:03 +0000 2012,Twitter for iPhone
Mon Apr 20 20:36:49 +0000 2020,9310,[],1252335434073624582,,,2668,5405,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",952263506,578,549,Fri Nov 16 19:19:20 +0000 2012,Twitter for iPhone
Mon Apr 20 20:36:50 +0000 2020,8351,[],1252335439811424256,1252334921173123076,1229211002937409536,3871,5410,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",562479676,819,4925,Wed Apr 25 01:08:16 +0000 2012,Twitter for Android
Mon Apr 20 20:36:51 +0000 2020,1901,[],1252335442248286210,,,4978,6473,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",1451888947,116,135,Thu May 23 16:11:20 +0000 2013,Twitter Web App
Mon Apr 20 20:36:54 +0000 2020,9979,"[EU, Corona, coronavirus]",1252335453568712704,,,6092,7198,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>",461886793,1032,317,Thu Jan 12 09:29:00 +0000 2012,Twitter for iPad
Mon Apr 20 20:36:54 +0000 2020,4029,[],1252335453937651712,,,5299,8891,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",838785698702344192,154,1800,Mon Mar 06 16:17:49 +0000 2017,Twitter for Android
Mon Apr 20 20:36:54 +0000 2020,6154,"[StayHomeSaveLives, keyworkerHeroes, Alzheimers, Dementia]",1252335454025928704,,,7663,1704,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",1156236696356302849,59,74,Tue Jul 30 16:14:45 +0000 2019,Twitter for iPhone
Mon Apr 20 20:36:56 +0000 2020,9447,[],1252335464750735362,,,7049,8777,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",356908448,1640,565,Wed Aug 17 15:11:48 +0000 2011,Twitter for iPhone
Mon Apr 20 20:36:57 +0000 2020,9906,[],1252335467502002176,,,4705,7940,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1231128544438292480,48,361,Sat Feb 22 08:08:30 +0000 2020,Twitter for Android
Mon Apr 20 20:36:57 +0000 2020,568,[],1252335469787901953,,,2364,1426,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",787330852510457856,46,240,Sat Oct 15 16:34:38 +0000 2016,Twitter for iPhone
Mon Apr 20 20:37:00 +0000 2020,4997,[],1252335481007869957,,,6209,886,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",973761784044818432,635,435,Wed Mar 14 03:24:35 +0000 2018,Twitter for iPhone
Mon Apr 20 20:37:02 +0000 2020,4131,[],1252335487269863424,1252095806301241346,1179796772446703616,6654,5007,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",342031344,1802,824,Mon Jul 25 11:00:26 +0000 2011,Twitter for Android
Mon Apr 20 20:37:02 +0000 2020,2360,[],1252335487374757888,1252333649707614209,4429003533,926,8386,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1121589439447302144,130,215,Fri Apr 26 01:38:55 +0000 2019,Twitter for Android
Mon Apr 20 20:37:08 +0000 2020,3710,[],1252335512125419521,,,5334,2612,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",2561260255,2600,4478,Wed Jun 11 12:20:57 +0000 2014,Twitter for iPhone
Mon Apr 20 20:37:11 +0000 2020,5480,[],1252335527849865216,,,7877,6957,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",368031313,74,415,Sun Sep 04 23:56:29 +0000 2011,Twitter for iPhone
Mon Apr 20 20:37:12 +0000 2020,2021,[],1252335530101989377,1252335529158270977,1153831935283621889,5910,9037,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",1153831935283621889,515,665,Wed Jul 24 00:59:05 +0000 2019,Twitter Web App
Mon Apr 20 20:37:20 +0000 2020,4945,[],1252335562570285061,,,47,8158,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",2950171925,71,107,Mon Dec 29 22:54:10 +0000 2014,Twitter for iPhone
Mon Apr 20 20:37:22 +0000 2020,1300,[],1252335573722902531,,,1676,8264,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",492217633,3958,1024,Tue Feb 14 13:34:09 +0000 2012,Twitter for iPhone
Mon Apr 20 20:37:23 +0000 2020,6980,[OilPrice],1252335577074208768,,,5647,3020,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1133657566997823489,3149,3121,Wed May 29 08:53:21 +0000 2019,Twitter for Android
Mon Apr 20 20:37:23 +0000 2020,7681,[],1252335577107591168,,,3513,56,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1110019625113149441,2,14,Mon Mar 25 03:24:36 +0000 2019,Twitter for Android
Mon Apr 20 20:37:24 +0000 2020,5963,[],1252335581553541120,,,5300,2144,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",232879394,11506,11865,Sat Jan 01 16:20:26 +0000 2011,Twitter for iPhone
Mon Apr 20 20:37:29 +0000 2020,4469,[OilPrice],1252335603116576768,,,4081,2357,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",3359174967,7038,4943,Sat Jul 04 19:46:53 +0000 2015,Twitter for Android
Mon Apr 20 20:37:29 +0000 2020,5388,[],1252335604202905603,,,5988,1170,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",959100144108097539,336,400,Thu Feb 01 16:24:28 +0000 2018,Twitter Web App
Mon Apr 20 20:37:30 +0000 2020,3095,[طبق_القدرات_للثانويه_ياريس],1252335605448654851,,,3418,6100,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1251911233760104450,1,6,Sun Apr 19 16:31:27 +0000 2020,Twitter for Android
Mon Apr 20 20:37:33 +0000 2020,9562,[],1252335617146597377,,,972,9678,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",1148870898407084032,1392,345,Wed Jul 10 08:25:41 +0000 2019,Twitter Web App
Mon Apr 20 20:37:34 +0000 2020,4155,[],1252335623421263872,,,2152,4496,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",1252208173966135296,39,39,Mon Apr 20 12:11:18 +0000 2020,Twitter for iPhone
Mon Apr 20 20:37:37 +0000 2020,2339,[],1252335637644095488,,,5595,5777,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",188017117,819,440,Tue Sep 07 18:43:07 +0000 2010,Twitter for Android
Mon Apr 20 20:37:40 +0000 2020,5333,[],1252335646548488192,,,33,4198,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",800159240652341248,276,491,Sun Nov 20 02:10:04 +0000 2016,Twitter for Android
Mon Apr 20 20:37:43 +0000 2020,6972,[],1252335661941755904,,,7574,1803,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",873313596926722051,28,134,Fri Jun 09 22:59:21 +0000 2017,Twitter Web App
Mon Apr 20 20:37:45 +0000 2020,7166,[],1252335669629849600,,,5254,8686,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",287946638,2856,1757,Mon Apr 25 23:56:51 +0000 2011,Twitter for iPhone
Mon Apr 20 20:37:46 +0000 2020,4991,[],1252335672381173760,1252335670078693377,1161043910363361282,4202,7333,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>",1161043910363361282,189,13,Mon Aug 12 22:36:54 +0000 2019,Twitter Web Client
Mon Apr 20 20:37:49 +0000 2020,5240,[],1252335687208222720,,,4733,5276,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",821266039,626,580,Thu Sep 13 10:24:47 +0000 2012,Twitter for Android
Mon Apr 20 20:37:51 +0000 2020,6711,[],1252335694892142594,,,3390,2116,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",1718790710,30,20,Sun Sep 01 11:51:33 +0000 2013,Twitter for iPhone
Mon Apr 20 20:37:58 +0000 2020,1475,[],1252335723929354240,,,7449,5173,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",922883714140594177,256,389,Tue Oct 24 17:53:18 +0000 2017,Twitter for iPhone
Mon Apr 20 20:37:58 +0000 2020,9031,[],1252335725955121153,,,8339,5603,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",1223085875267035136,17487,969,Fri Jan 31 03:29:45 +0000 2020,Twitter for iPhone
Mon Apr 20 20:37:59 +0000 2020,3109,[],1252335728324866049,,,4529,4490,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",943477521126952961,242,308,Wed Dec 20 13:45:44 +0000 2017,Twitter for iPhone
Mon Apr 20 20:38:01 +0000 2020,7368,[],1252335738198192128,,,7726,5018,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",240028072,6907,3630,Wed Jan 19 00:32:25 +0000 2011,Twitter for iPhone
