created_at,favorite_count,hashtags,id,in_reply_to_status_id,in_reply_to_user_id_str,reply_count,retweet_count,source,user_id_str,user_followers_count,user_friends_count,user_created_at,extracted_source
Mon Apr 20 15:02:00 +0000 2020,2001,[],1252251174448726017,,,6602,6924,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",929673345875841025,7,229,Sun Nov 12 11:32:52 +0000 2017,Twitter for Android
Mon Apr 20 15:02:02 +0000 2020,3118,[],1252251181533011969,,,3988,2929,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",423785293,167,112,Mon Nov 28 23:00:11 +0000 2011,Twitter for iPhone
Mon Apr 20 15:02:02 +0000 2020,9105,[keepItsimple],1252251182355173377,,,885,5506,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",14114627,69,101,Mon Mar 10 15:30:27 +0000 2008,Twitter for iPhone
Mon Apr 20 15:02:02 +0000 2020,1561,[],1252251185324666886,,,9278,3460,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",20628670,3451,3154,Wed Feb 11 21:14:56 +0000 2009,Twitter for iPhone
Mon Apr 20 15:02:02 +0000 2020,7827,[Chinese],1252251185559601152,,,9934,3152,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",3552992837,237,1119,Sat Sep 05 07:08:16 +0000 2015,Twitter for Android
Mon Apr 20 15:02:12 +0000 2020,7524,[],1252251225334185984,,,2182,2687,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",404936549,213,1321,Fri Nov 04 16:28:50 +0000 2011,Twitter for Android
Mon Apr 20 15:02:12 +0000 2020,6276,[],1252251227490058241,1251976838567677953,343002852,3363,8078,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",194784684,1817,2533,Sat Sep 25 00:06:32 +0000 2010,Twitter for Android
Mon Apr 20 15:02:13 +0000 2020,7063,[],1252251230270885894,1252244533770944512,1110929231494569984,6366,8753,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1208660621220122625,320,208,Sun Dec 22 08:08:55 +0000 2019,Twitter for Android
Mon Apr 20 15:02:18 +0000 2020,2361,[],1252251252509065221,,,5408,4611,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>",3233148445,1242,1314,Tue Jun 02 02:55:14 +0000 2015,Twitter for iPad
Mon Apr 20 15:02:20 +0000 2020,7118,[],1252251258947280898,,,8688,876,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",1015711801030463488,41,26,Sat Jul 07 21:38:59 +0000 2018,Twitter for iPhone
