created_at,favorite_count,hashtags,id,in_reply_to_status_id,in_reply_to_user_id_str,reply_count,retweet_count,source,user_id_str,user_followers_count,user_friends_count,user_created_at,extracted_source
Mon Apr 20 15:01:57 +0000 2020,5545,[],1252251164227362821,,,3460,5477,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",93612837,121,759,Mon Nov 30 11:38:08 +0000 2009,Twitter Web App
Mon Apr 20 15:01:58 +0000 2020,2775,[],1252251166504824833,,,9965,6374,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1154311994,4790,574,Wed Feb 06 15:26:41 +0000 2013,Twitter for Android
Mon Apr 20 15:02:00 +0000 2020,255,[],1252251174503358468,,,1174,597,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",1433865350,6,94,Thu May 16 19:43:08 +0000 2013,Twitter Web App
Mon Apr 20 15:01:59 +0000 2020,3690,[],1252251172527845379,,,6089,6735,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",238382848,2840,403,Sat Jan 15 01:45:04 +0000 2011,Twitter for iPhone
Mon Apr 20 15:02:00 +0000 2020,8219,[],1252251176109780994,,,724,9712,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",3298265327,389,729,Mon May 25 18:41:16 +0000 2015,Twitter for iPhone
Mon Apr 20 15:02:01 +0000 2020,9498,[],1252251180325109765,,,8623,7152,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",719489594241191936,3388,4959,Mon Apr 11 11:37:41 +0000 2016,Twitter for Android
Mon Apr 20 15:02:05 +0000 2020,3978,[طبق_القدرات_للثانويه_ياريس],1252251194334085122,,,7558,6381,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",1238994639371239424,5,3,Sun Mar 15 01:05:26 +0000 2020,Twitter Web App
Mon Apr 20 15:02:06 +0000 2020,991,[],1252251201644531715,,,7497,1177,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",784384760164388864,2029,2051,Fri Oct 07 13:27:55 +0000 2016,Twitter for Android
Mon Apr 20 15:02:07 +0000 2020,4459,[Covid_19],1252251204912132096,,,8831,9384,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",746597666981806080,3,104,Sat Jun 25 06:55:29 +0000 2016,Twitter Web App
Mon Apr 20 15:02:10 +0000 2020,7075,[],1252251214944886784,,,7256,3098,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",825979283831140352,591,346,Mon Jan 30 08:09:42 +0000 2017,Twitter for Android
Mon Apr 20 15:02:10 +0000 2020,2563,[],1252251216454787072,,,3679,1627,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",130238886,542,299,Tue Apr 06 18:50:40 +0000 2010,Twitter Web App
Mon Apr 20 15:02:10 +0000 2020,1403,[],1252251218132512768,,,5195,2464,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",33709040,6644,6422,Mon Apr 20 23:15:36 +0000 2009,Twitter for iPhone
