created_at,favorite_count,hashtags,id,in_reply_to_status_id,in_reply_to_user_id_str,reply_count,retweet_count,source,user_id_str,user_followers_count,user_friends_count,user_created_at,extracted_source
Mon Apr 20 15:02:02 +0000 2020,1383,[],1252251184703954944,,,1842,5777,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",1150760164959670283,258,225,Mon Jul 15 13:32:58 +0000 2019,Twitter for iPhone
Mon Apr 20 15:02:05 +0000 2020,2310,"[Nederland, CoronaCrisis, housing, mortgage]",1252251196586426368,,,2258,8300,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",498933676,1643,3511,Tue Feb 21 15:48:07 +0000 2012,Twitter Web App
Mon Apr 20 15:02:07 +0000 2020,5282,[],1252251206027816960,,,5352,9984,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1147961598876758022,161,374,Sun Jul 07 20:12:28 +0000 2019,Twitter for Android
Mon Apr 20 15:02:09 +0000 2020,5301,[],1252251214823034880,,,4693,744,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",885778797382979584,57327,903,Fri Jul 14 08:31:37 +0000 2017,Twitter for Android
Mon Apr 20 15:02:10 +0000 2020,1280,[],1252251219126411264,,,4405,4360,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",2651519526,1378,3183,Wed Jul 16 16:54:32 +0000 2014,Twitter for iPhone
Mon Apr 20 15:02:12 +0000 2020,1186,[],1252251227297058822,,141902454,4939,3917,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",948743978,454,344,Thu Nov 15 00:16:04 +0000 2012,Twitter for Android
Mon Apr 20 15:02:15 +0000 2020,6962,[],1252251237463887872,,,2511,9193,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1249524990652735488,4,99,Mon Apr 13 02:30:30 +0000 2020,Twitter for Android
Mon Apr 20 15:02:17 +0000 2020,6328,[],1252251244535693317,,,3195,7000,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1250781519972569088,241,121,Thu Apr 16 13:43:04 +0000 2020,Twitter for Android
Mon Apr 20 15:02:20 +0000 2020,6163,"[COVID19, FlattenTheCurve, frugality, bipolar]",1252251257642741760,,,6806,9014,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",61653212,3803,118,Fri Jul 31 01:18:58 +0000 2009,Twitter Web App
Mon Apr 20 15:02:21 +0000 2020,1298,[],1252251262025781252,,,2872,871,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1023036884912467968,171,1036,Sat Jul 28 02:46:15 +0000 2018,Twitter for Android
