created_at,favorite_count,hashtags,id,in_reply_to_status_id,in_reply_to_user_id_str,reply_count,retweet_count,source,user_id_str,user_followers_count,user_friends_count,user_created_at,extracted_source
Mon Apr 20 15:14:15 +0000 2020,7989,[],1252254258898055174,,,8370,1831,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",882978768234704896,19,253,Thu Jul 06 15:05:18 +0000 2017,Twitter Web App
Mon Apr 20 15:14:18 +0000 2020,9225,[],1252254271439020034,,,7493,7738,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1912435586,927,1527,Fri Sep 27 22:07:54 +0000 2013,Twitter for Android
Mon Apr 20 15:14:19 +0000 2020,1257,[],1252254275469639682,,,4382,1456,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",1198887553,2790,3414,Tue Feb 19 22:47:45 +0000 2013,Twitter for iPhone
Mon Apr 20 15:14:20 +0000 2020,456,[],1252254276828741633,,,949,3315,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1225300531352133632,182,115,Thu Feb 06 06:10:06 +0000 2020,Twitter for Android
Mon Apr 20 15:14:20 +0000 2020,9902,[],1252254277847916544,,,7961,3540,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1252250786609971200,9403,0,Mon Apr 20 15:00:50 +0000 2020,Twitter for Android
Mon Apr 20 15:14:21 +0000 2020,3564,[],1252254281211826178,,,688,4382,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",986991465782886400,53,109,Thu Apr 19 15:34:37 +0000 2018,Twitter for Android
Mon Apr 20 15:14:24 +0000 2020,6627,[],1252254293689798657,,,7466,7867,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1657928288,416,144,Fri Aug 09 14:52:50 +0000 2013,Twitter for Android
Mon Apr 20 15:14:24 +0000 2020,3757,[],1252254295753441282,,,5085,9916,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",36858350,6786,5577,Fri May 01 02:32:42 +0000 2009,Twitter for iPhone
Mon Apr 20 15:14:25 +0000 2020,5107,[],1252254300253929472,,,774,2802,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",531981963,906,865,Wed Mar 21 03:49:43 +0000 2012,Twitter for iPhone
Mon Apr 20 15:14:26 +0000 2020,7270,"[COVIDー19, Covid_19]",1252254303533903872,,,6450,6971,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",889823393771659265,4,48,Tue Jul 25 12:23:23 +0000 2017,Twitter Web App
Mon Apr 20 15:14:27 +0000 2020,3978,[],1252254307753365506,1252233089427755008,16712223,6249,9041,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",3159405125,405,385,Sun Apr 12 11:46:33 +0000 2015,Twitter Web App
Mon Apr 20 15:14:28 +0000 2020,986,[VodafoneIdea],1252254312610230272,,,2811,895,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",817553828614651906,3646,3076,Sat Jan 07 02:09:56 +0000 2017,Twitter for Android
Mon Apr 20 15:14:30 +0000 2020,396,[],1252254322626310144,,,4744,3197,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",607973993,674,523,Thu Jun 14 09:07:43 +0000 2012,Twitter for iPhone
Mon Apr 20 15:14:32 +0000 2020,7340,[],1252254328544354305,,,2480,8830,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",530918689,48,290,Tue Mar 20 04:48:45 +0000 2012,Twitter Web App
Mon Apr 20 15:14:36 +0000 2020,3877,[],1252254345992814600,1252246238927470593,744935215508787201,5805,8422,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1118841799601266690,88,104,Thu Apr 18 11:40:46 +0000 2019,Twitter for Android
Mon Apr 20 15:14:37 +0000 2020,890,[],1252254351676125184,,,7525,8152,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",2514072728,11927,12995,Thu May 22 00:44:31 +0000 2014,Twitter for Android
Mon Apr 20 15:14:37 +0000 2020,2072,[],1252254352070369281,,,2127,6457,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>",261382025,1939,1345,Sat Mar 05 21:05:40 +0000 2011,Twitter Web Client
Mon Apr 20 15:14:43 +0000 2020,5678,[],1252254374987956227,,,5709,6973,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",1337275111,6716,1671,Mon Apr 08 18:10:15 +0000 2013,Twitter for iPhone
Mon Apr 20 15:14:44 +0000 2020,9127,"[Corona, Digital, Marketers]",1252254379635208192,,,6184,3223,"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>",70596341,406,669,Tue Sep 01 04:22:37 +0000 2009,TweetDeck
Mon Apr 20 15:14:45 +0000 2020,6704,[],1252254382797676544,,,7541,6207,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",34988827,3281,4999,Fri Apr 24 17:51:34 +0000 2009,Twitter for iPhone
Mon Apr 20 15:14:45 +0000 2020,9080,"[day29, quarantober, glass, masonjar, drinkwater, socialdistancing, inkart]",1252254382797787137,,,9426,7985,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1004402312113160192,60,79,Wed Jun 06 16:39:06 +0000 2018,Twitter for Android
Mon Apr 20 15:14:48 +0000 2020,4573,[],1252254395598864386,,,4519,7051,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",3689059701,1852,4986,Thu Sep 17 20:11:59 +0000 2015,Twitter for Android
Mon Apr 20 15:14:52 +0000 2020,6558,[],1252254413499953154,,,8898,1191,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",124010116,4550,3905,Wed Mar 17 23:36:54 +0000 2010,Twitter Web App
Mon Apr 20 15:14:52 +0000 2020,4423,[],1252254414930231296,,,9631,528,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",15114107,697,1870,Sat Jun 14 03:39:31 +0000 2008,Twitter for Android
Mon Apr 20 15:15:02 +0000 2020,6238,[],1252254454432358403,1252224378873565185,16184358,6591,8508,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",1144669339599200256,22,125,Fri Jun 28 18:10:12 +0000 2019,Twitter Web App
Mon Apr 20 15:15:03 +0000 2020,5858,[],1252254460908318720,,,1899,227,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",1049320716884201472,290,180,Mon Oct 08 15:28:49 +0000 2018,Twitter Web App
Mon Apr 20 15:15:03 +0000 2020,920,[],1252254460845449216,,,2908,7151,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1023888991119175680,153,144,Mon Jul 30 11:12:13 +0000 2018,Twitter for Android
Mon Apr 20 15:15:04 +0000 2020,8640,[],1252254461382266881,,,9932,9013,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",1245233782484905985,82,426,Wed Apr 01 06:17:42 +0000 2020,Twitter Web App
Mon Apr 20 15:15:05 +0000 2020,5836,[],1252254469519179776,,,5641,4981,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1157271529022984192,1855,1932,Fri Aug 02 12:46:48 +0000 2019,Twitter for Android
Mon Apr 20 15:15:08 +0000 2020,8584,[],1252254481309241345,1252254467325440002,767764432810237952,6731,930,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",767764432810237952,7,36,Mon Aug 22 16:44:40 +0000 2016,Twitter for Android
Mon Apr 20 15:15:11 +0000 2020,8633,[],1252254490738081792,,,8791,3053,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",950393285578772480,21,230,Mon Jan 08 15:46:31 +0000 2018,Twitter Web App
Mon Apr 20 15:15:11 +0000 2020,2882,[Lockdown],1252254492046721028,,,4749,1616,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1534370197,87,201,Thu Jun 20 16:28:06 +0000 2013,Twitter for Android
Mon Apr 20 15:15:12 +0000 2020,1923,[],1252254496153108485,,,728,3502,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",438887813,133,891,Sat Dec 17 04:06:44 +0000 2011,Twitter for Android
Mon Apr 20 15:15:12 +0000 2020,8154,[],1252254497721761797,1252205436394225666,16184358,3906,1744,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",1144669339599200256,22,125,Fri Jun 28 18:10:12 +0000 2019,Twitter Web App
Mon Apr 20 15:15:13 +0000 2020,9720,[],1252254500691247105,,,5108,7077,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",15207657,6317,5551,Mon Jun 23 14:40:57 +0000 2008,Twitter for Android
Mon Apr 20 15:15:14 +0000 2020,572,[],1252254506777108480,,,197,788,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",77418770,805,617,Sat Sep 26 07:02:53 +0000 2009,Twitter Web App
Mon Apr 20 15:15:15 +0000 2020,1587,[],1252254508232716290,1252253753140555776,434861621,7282,1885,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1212722453882929156,50,265,Thu Jan 02 13:09:24 +0000 2020,Twitter for Android
Mon Apr 20 15:15:15 +0000 2020,145,[],1252254511130988544,,,5405,9866,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>",22315241,3216,1158,Sun Mar 01 00:45:09 +0000 2009,Twitter Web Client
Mon Apr 20 15:15:16 +0000 2020,5058,[],1252254512263450624,,,4928,1489,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",1130808507509497856,57,208,Tue May 21 12:12:12 +0000 2019,Twitter for iPhone
Mon Apr 20 15:15:17 +0000 2020,2167,[],1252254519435513856,,,6983,2308,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",2467228692,385,751,Mon Apr 28 05:07:14 +0000 2014,Twitter Web App
Mon Apr 20 15:15:18 +0000 2020,1450,[],1252254520861745154,,,1477,4752,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",345511759,572,2653,Sat Jul 30 18:33:46 +0000 2011,Twitter for iPhone
Mon Apr 20 15:15:21 +0000 2020,8764,"[CloudComputing, Corona, Cloud, Technology]",1252254535562690560,,,8856,6443,"<a href=\"http://twinybots.com\" rel=\"nofollow\">TwinyBots</a>",1026865890804084736,307,1475,Tue Aug 07 16:21:21 +0000 2018,TwinyBots
Mon Apr 20 15:15:22 +0000 2020,7995,[],1252254540059021315,1252139180215369730,347235287,8958,6982,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",943837446252515329,23086,6919,Thu Dec 21 13:35:57 +0000 2017,Twitter for Android
Mon Apr 20 15:15:23 +0000 2020,5348,[],1252254542193758208,,,4067,9428,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",575077784,343,244,Wed May 09 05:33:46 +0000 2012,Twitter for Android
