created_at,favorite_count,hashtags,id,in_reply_to_status_id,in_reply_to_user_id_str,reply_count,retweet_count,source,user_id_str,user_followers_count,user_friends_count,user_created_at,extracted_source
Mon Apr 20 15:20:24 +0000 2020,9162,[],1252255803731595266,,,6544,1964,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1251977740003262465,9,5,Sun Apr 19 20:55:35 +0000 2020,Twitter for Android
Mon Apr 20 15:20:26 +0000 2020,9230,[],1252255812673654792,,,6406,6359,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",836159962049089537,4067,2813,Mon Feb 27 10:24:04 +0000 2017,Twitter for Android
Mon Apr 20 15:20:27 +0000 2020,2128,[],1252255817992192007,,,9395,1288,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",1109785319531048960,607,319,Sun Mar 24 11:53:33 +0000 2019,Twitter Web App
Mon Apr 20 15:20:28 +0000 2020,9034,[],1252255824174559233,,,3000,2786,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",65243568,122,1552,Thu Aug 13 02:20:00 +0000 2009,Twitter for Android
Mon Apr 20 15:20:29 +0000 2020,6412,[],1252255826846404608,,,8046,3330,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",1211858769824497670,36,420,Tue Dec 31 03:57:12 +0000 2019,Twitter Web App
Mon Apr 20 15:20:31 +0000 2020,6127,[],1252255836690190338,1252254595901829120,3310685269,3896,1200,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",872806819491713035,9610,60,Thu Jun 08 13:25:36 +0000 2017,Twitter Web App
Mon Apr 20 15:20:34 +0000 2020,5532,[],1252255847679504384,,,1194,4343,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",865785498,446,727,Sun Oct 07 05:07:32 +0000 2012,Twitter for iPhone
Mon Apr 20 15:20:36 +0000 2020,1941,[],1252255854482595842,1252255307197296642,1218787420214382592,7228,1351,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",1218787420214382592,561,363,Sun Jan 19 06:49:29 +0000 2020,Twitter for iPhone
Mon Apr 20 15:20:37 +0000 2020,1632,[],1252255858492354561,,,412,7033,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",909286530170130432,65810,56173,Sun Sep 17 05:22:57 +0000 2017,Twitter for Android
Mon Apr 20 15:20:37 +0000 2020,7069,[],1252255862183387143,1251925078817865731,155178817,3531,9556,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1217603918554902528,12,102,Thu Jan 16 00:26:57 +0000 2020,Twitter for Android
Mon Apr 20 15:20:38 +0000 2020,7982,[],1252255864624422914,,,3524,1887,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",1029728182533058561,6942,766,Wed Aug 15 13:55:04 +0000 2018,Twitter for iPhone
Mon Apr 20 15:20:40 +0000 2020,907,[],1252255871066832901,,,2023,1653,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1036236120499970048,29,244,Sun Sep 02 12:55:18 +0000 2018,Twitter for Android
Mon Apr 20 15:20:46 +0000 2020,6865,[],1252255898476609538,,,988,6801,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",791434945004605440,93,636,Thu Oct 27 00:22:49 +0000 2016,Twitter for iPhone
Mon Apr 20 15:20:47 +0000 2020,3235,[],1252255900460552192,,,8729,4201,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",759465300,9,81,Wed Aug 15 14:23:10 +0000 2012,Twitter for Android
Mon Apr 20 15:20:47 +0000 2020,2008,[],1252255904151465986,,,643,8264,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1161476770115268617,405,2412,Wed Aug 14 03:16:55 +0000 2019,Twitter for Android
Mon Apr 20 15:20:50 +0000 2020,7681,[],1252255915530752006,,,512,3024,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",2213250671,2093,1470,Sun Dec 08 03:24:39 +0000 2013,Twitter for iPhone
