created_at,favorite_count,hashtags,id,in_reply_to_status_id,in_reply_to_user_id_str,reply_count,retweet_count,source,user_id_str,user_followers_count,user_friends_count,user_created_at,extracted_source
Mon Apr 20 20:29:26 +0000 2020,8826,[],1252333577120907266,,,9191,2202,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1036832407,2514,1968,Wed Dec 26 10:31:10 +0000 2012,Twitter for Android
Mon Apr 20 20:29:29 +0000 2020,9916,[],1252333589812912129,,,1019,6682,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",1142557402358792192,263,528,Sat Jun 22 22:18:07 +0000 2019,Twitter for iPhone
Mon Apr 20 20:29:30 +0000 2020,5561,[],1252333592367239168,,,9472,5015,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1156643721418563594,56,721,Wed Jul 31 19:12:07 +0000 2019,Twitter for Android
Mon Apr 20 20:29:32 +0000 2020,8809,[],1252333599862468609,,,7100,1354,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",1316769013,407,451,Sat Mar 30 16:31:19 +0000 2013,Twitter for iPhone
Mon Apr 20 20:29:33 +0000 2020,2521,[],1252333605478633472,1252329927464058887,2983237569,9506,8606,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1211641092723986432,3,101,Mon Dec 30 13:32:13 +0000 2019,Twitter for Android
Mon Apr 20 20:29:36 +0000 2020,120,[],1252333619122757632,,,2979,7129,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",1246450567741931523,3423,652,Sat Apr 04 14:52:44 +0000 2020,Twitter for iPhone
Mon Apr 20 20:29:40 +0000 2020,4667,[],1252333634230648832,,,4396,8783,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",1010990475568910337,1954,601,Sun Jun 24 20:58:07 +0000 2018,Twitter for iPhone
Mon Apr 20 20:29:40 +0000 2020,7868,[],1252333634939490305,,,2076,3380,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",895995681629974529,378,451,Fri Aug 11 13:09:52 +0000 2017,Twitter for iPhone
Mon Apr 20 20:29:45 +0000 2020,5420,[],1252333654111596547,,,4537,8936,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1211588714104643584,1276,1968,Mon Dec 30 10:04:21 +0000 2019,Twitter for Android
Mon Apr 20 20:29:45 +0000 2020,5300,[],1252333655944462337,1252333655067971584,35219388,8256,4862,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",35219388,593,385,Sat Apr 25 14:14:51 +0000 2009,Twitter for iPhone
