created_at,favorite_count,hashtags,id,in_reply_to_status_id,in_reply_to_user_id_str,reply_count,retweet_count,source,user_id_str,user_followers_count,user_friends_count,user_created_at,extracted_source
Mon Apr 20 15:01:59 +0000 2020,5209,[],1252251170057457665,,,6258,7927,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",1297207694,9069,9109,Mon Mar 25 01:08:07 +0000 2013,Twitter Web App
Mon Apr 20 15:02:01 +0000 2020,2159,[],1252251177250668544,1252251173140258819,1246109551297994753,2946,2746,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",1246109551297994753,373,1664,Fri Apr 03 16:18:10 +0000 2020,Twitter Web App
Mon Apr 20 15:02:01 +0000 2020,7982,[Corona],1252251180627038209,,,947,1579,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",123283411,49,114,Mon Mar 15 15:55:42 +0000 2010,Twitter for Android
Mon Apr 20 15:02:02 +0000 2020,9733,[],1252251181814108161,,,8461,4521,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",1176478702772850689,64,77,Tue Sep 24 12:49:20 +0000 2019,Twitter for iPhone
Mon Apr 20 15:02:02 +0000 2020,6059,[],1252251182426476548,,,3180,5003,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1175615769176170496,562,804,Sun Sep 22 03:40:27 +0000 2019,Twitter for Android
Mon Apr 20 15:02:02 +0000 2020,5372,[COVIDー19],1252251184385179648,,,5910,5155,"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>",1432406870,16482,49,Thu May 16 07:36:08 +0000 2013,TweetDeck
Mon Apr 20 15:02:05 +0000 2020,8225,"[Coronavirus, COVID19, Andhrapradesh]",1252251194849976320,,,7901,9049,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",845916368960602112,41,90,Sun Mar 26 08:32:33 +0000 2017,Twitter for Android
Mon Apr 20 15:02:05 +0000 2020,5238,[],1252251196628373505,,,159,4333,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>",64797438,1870,1301,Tue Aug 11 19:27:30 +0000 2009,Twitter for iPhone
Mon Apr 20 15:02:06 +0000 2020,6584,[],1252251200084414466,,,2897,8886,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>",3699496906,21503,23042,Fri Sep 18 19:16:42 +0000 2015,Twitter Web App
Mon Apr 20 15:02:07 +0000 2020,8579,[],1252251204047888390,,,7980,6108,"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>",106584640,557,672,Wed Jan 20 01:21:22 +0000 2010,TweetDeck
Mon Apr 20 15:02:10 +0000 2020,6679,[],1252251217239171074,,,7184,3336,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",1252166317899231234,54,408,Mon Apr 20 09:25:01 +0000 2020,Twitter for Android
Mon Apr 20 15:02:10 +0000 2020,2626,"[NUFCTakeover, NUFC]",1252251217075585024,,,7515,7569,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",262667747,1439,2557,Tue Mar 08 14:22:54 +0000 2011,Twitter for Android
Mon Apr 20 15:02:10 +0000 2020,2040,[],1252251217952215044,,,5881,9399,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>",279717243,809,1135,Sat Apr 09 21:34:58 +0000 2011,Twitter for Android
Mon Apr 20 15:02:11 +0000 2020,7668,[],1252251221286502405,,,1910,6904,"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>",14057781,4174,4120,Thu Feb 28 22:55:13 +0000 2008,TweetDeck
