Densitat de població. Municipis amb més de 20.000 habitants
2022
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15228
,Població,Superfície km²,Densitat hab./km²,Rang per nombre d'hab.
Barcelona,1636193,101.4,16144.0,1
"Hospitalet de Llobregat, l'",265444,12.4,21406.8,2
Terrassa,224114,70.2,3194.3,3
Badalona,223506,21.2,10552.7,4
Sabadell,215760,37.8,5709.5,5
Lleida,140797,212.3,663.2,6
Tarragona,134883,57.9,2330.4,7
Mataró,128956,22.5,5723.8,8
Santa Coloma de Gramenet,117981,7.0,16854.4,9
Reus,106741,52.8,2020.8,10
Girona,102666,39.1,2624.4,11
Sant Cugat del Vallès,95725,48.2,1984.8,12
Cornellà de Llobregat,89039,7.0,12738.1,13
Sant Boi de Llobregat,83371,21.5,3883.1,14
Rubí,79007,32.3,2446.0,15
Manresa,77452,41.7,1859.6,16
Vilanova i la Geltrú,68152,34.0,2005.1,17
Castelldefels,67307,12.9,5229.8,18
Viladecans,66720,20.4,3270.6,19
"Prat de Llobregat, el",65030,31.4,2070.4,20
Granollers,61983,14.9,4168.3,21
Cerdanyola del Vallès,57291,30.6,1874.7,22
Mollet del Vallès,51294,10.8,4762.7,23
Vic,47545,30.6,1554.8,24
Figueres,47088,19.3,2439.8,25
Gavà,46974,30.8,1527.6,26
Esplugues de Llobregat,46414,4.6,10090.0,27
Sant Feliu de Llobregat,45642,11.8,3861.4,28
Igualada,40767,8.1,5026.8,29
Blanes,40579,17.7,2297.8,30
Vilafranca del Penedès,40056,19.7,2038.5,31
"Vendrell, el",39072,36.8,1061.7,32
Ripollet,39031,4.3,9014.1,33
Lloret de Mar,38941,48.7,799.5,34
Sant Adrià de Besòs,36918,3.8,9664.4,35
Olot,36716,29.0,1264.8,36
Montcada i Reixac,36666,23.5,1562.3,37
Cambrils,35675,35.2,1013.2,38
Sant Joan Despí,34039,6.2,5516.9,39
Tortosa,33890,218.5,155.1,40
Barberà del Vallès,33082,8.3,3981.0,41
Salt,32517,6.6,4897.1,42
Sant Pere de Ribes,31688,40.8,776.7,43
Sitges,31222,43.9,712.0,44
Calafell,29102,20.4,1428.0,45
Salou,29028,15.1,1918.6,46
Martorell,28684,12.8,2248.0,47
Premià de Mar,28518,2.1,13515.6,48
Pineda de Mar,28083,10.7,2614.8,49
Sant Vicenç dels Horts,28079,9.1,3078.8,50
Sant Andreu de la Barca,26965,5.5,4902.7,51
Molins de Rei,26242,15.9,1646.3,52
Santa Perpètua de Mogoda,25930,15.8,1638.0,53
Castellar del Vallès,24933,44.9,555.2,54
Valls,24727,55.3,447.3,55
Olesa de Montserrat,24272,16.6,1459.5,56
"Masnou, el",23829,3.4,7029.2,57
Palafrugell,23396,26.9,870.4,58
Vila-seca,22681,21.6,1048.1,59
Esparreguera,22365,27.4,816.2,60
Sant Feliu de Guíxols,22149,16.2,1364.7,61
Amposta,21807,138.3,157.7,62
Vilassar de Mar,21067,4.0,5266.8,63
Manlleu,20883,17.2,1212.0,64
"Franqueses del Vallès, les",20322,29.1,697.4,65
Banyoles,20187,11.1,1826.9,66
Sant Quirze del Vallès,20180,14.1,1434.3,67

