PIB i PIB per habitant. Comarques i Aran
2020 (p)
Font: Idescat. Producte interior brut territorial (Revisió estadística 2019).
(p) Dada provisional.
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15336
,PIB (milions d'euros),PIB per habitant (milers d'euros),Índex Catalunya = 100
Alt Camp,1455.2,32.3,111.0
Alt Empordà,3162.1,22.6,77.6
Alt Penedès,3097.9,28.1,96.6
Alt Urgell,441.1,21.9,75.3
Alta Ribagorça,81.3,20.8,71.3
Anoia,2550.2,20.6,70.8
Aran,316.3,31.2,107.0
Bages,4362.0,24.3,83.5
Baix Camp,4131.6,21.1,72.4
Baix Ebre,1686.7,21.5,73.9
Baix Empordà,2695.1,20.0,68.8
Baix Llobregat,24290.4,29.3,100.7
Baix Penedès,1789.1,16.5,56.6
Barcelonès,82836.4,36.2,124.3
Berguedà,912.1,22.8,78.5
Cerdanya,414.3,22.1,75.9
Conca de Barberà,520.6,26.2,89.9
Garraf,2692.7,17.8,61.2
Garrigues,434.6,22.8,78.4
Garrotxa,1594.6,27.6,94.8
Gironès,5962.4,31.1,106.9
Maresme,8956.5,19.7,67.7
Moianès,283.2,20.3,69.7
Montsià,1262.1,18.2,62.5
Noguera,961.8,24.9,85.6
Osona,4693.0,29.0,99.5
Pallars Jussà,283.9,21.8,74.9
Pallars Sobirà,164.6,23.5,80.7
Pla d'Urgell,1076.7,28.8,98.9
Pla de l'Estany,826.8,25.4,87.3
Priorat,164.9,18.0,61.7
Ribera d'Ebre,836.2,38.6,132.7
Ripollès,557.3,22.1,75.9
Segarra,778.2,33.9,116.6
Segrià,5886.7,28.2,96.9
Selva,4399.2,25.6,88.0
Solsonès,341.5,24.7,84.9
Tarragonès,7506.0,28.5,97.9
Terra Alta,254.2,22.5,77.4
Urgell,968.8,26.1,89.7
Vallès Occidental,27183.6,29.0,99.6
Vallès Oriental,12243.8,29.5,101.5
Catalunya,225055.5,29.1,100.0

