"Altitud, superfície i població. Municipis"
2022
Font: Institut Cartogràfic de Catalunya; Idescat. Padró municipal d'habitants.
Notes:
"- El Diari Oficial de la Generalitat de Catalunya (DOGC) va publicar el proppassat 2 de Juliol la Resolució PRE/2023/2021, de 29 de juny, per la qual es dona conformitat al canvi de  nom del municipi de Bigues i Riells, que passa a denominar-se Bigues i Riells del Fai."
"- El Diari Oficial de la Generalitat de Catalunya (DOGC) va publicar el proppassat 10 de febrer la Resolució PRE/215/2022, de 4 de febrer, per la qual es dona conformitat al canvi de nom del municipi de Sant Carles de la Ràpita, que passa a denominar-se la Ràpita."
Institut d'Estadística de Catalunya
https://www.idescat.cat/indicadors/?id=aec&n=15903&t=2019
Municipi,Comarca,Codi,Altitud (m),Superfície (km²),Població
Abella de la Conca,Pallars Jussà,250019,956,78.30,167
Abrera,Baix Llobregat,080018,105,19.90,12697
Àger,Noguera,250024,642,160.60,580
Agramunt,Urgell,250030,337,79.70,5479
Aguilar de Segarra,Bages,080023,480,43.30,287
Agullana,Alt Empordà,170010,166,27.70,903
Aiguafreda,Vallès Oriental,080142,404,7.90,2552
Aiguamúrcia,Alt Camp,430017,314,73.00,961
Aiguaviva,Gironès,170025,169,13.90,780
Aitona,Segrià,250387,110,66.90,2521
"Alamús, els",Segrià,250045,212,20.50,781
Alàs i Cerc,Alt Urgell,250058,768,57.70,329
"Albagés, l'",Garrigues,250061,372,25.70,348
Albanyà,Alt Empordà,170031,239,94.40,180
Albatàrrec,Segrià,250077,147,10.50,2217
Albesa,Noguera,250083,237,37.60,1579
"Albi, l'",Garrigues,250096,526,32.50,755
Albinyana,Baix Penedès,430022,198,19.40,2581
"Albiol, l'",Baix Camp,430038,823,20.30,528
Albons,Baix Empordà,170046,25,11.10,797
Alcanar,Montsià,430043,72,47.10,9612
Alcanó,Segrià,250100,214,21.00,240
Alcarràs,Segrià,250117,137,114.30,9637
Alcoletge,Segrià,250122,213,16.70,3470
Alcover,Alt Camp,430056,243,46.00,5290
"Aldea, l'",Baix Ebre,439044,9,35.20,4332
Aldover,Baix Ebre,430069,14,20.20,862
"Aleixar, l'",Baix Camp,430075,262,26.10,924
Alella,Maresme,080039,90,9.60,10079
Alfara de Carles,Baix Ebre,430081,334,63.90,359
Alfarràs,Segrià,250138,281,11.40,2795
Alfés,Segrià,250143,236,31.90,300
Alforja,Baix Camp,430094,374,38.20,1928
Algerri,Noguera,250156,345,54.30,422
Alguaire,Segrià,250169,304,50.10,3040
Alins,Pallars Sobirà,250175,1048,183.20,285
Alió,Alt Camp,430108,263,7.30,496
Almacelles,Segrià,250194,247,49.00,6922
Almatret,Segrià,250208,462,56.80,302
Almenar,Segrià,250215,329,66.60,3401
Almoster,Baix Camp,430115,290,6.00,1334
Alòs de Balaguer,Noguera,250220,297,69.10,121
Alp,Cerdanya,170062,1158,44.30,1717
Alpens,Osona,080044,855,13.80,281
Alpicat,Segrià,250236,264,15.30,6333
Alt Àneu,Pallars Sobirà,250241,1076,217.80,441
Altafulla,Tarragonès,430120,52,7.00,5609
Amer,Selva,170078,186,40.10,2422
"Ametlla de Mar, l'",Baix Ebre,430136,19,66.90,7209
"Ametlla del Vallès, l'",Vallès Oriental,080057,281,14.20,9020
"Ampolla, l'",Baix Ebre,439060,8,35.70,3563
Amposta,Montsià,430141,8,138.30,21807
Anglès,Selva,170084,181,16.30,5682
Anglesola,Urgell,250273,335,23.50,1350
Arbeca,Garrigues,250292,332,58.30,2100
"Arboç, l'",Baix Penedès,430167,166,14.10,5604
Arbolí,Baix Camp,430154,714,20.80,122
Arbúcies,Selva,170097,291,86.20,6474
Arenys de Mar,Maresme,080060,10,6.80,16155
Arenys de Munt,Maresme,080076,121,21.30,9278
Argelaguer,Garrotxa,170101,183,12.50,439
